Year	Month	Anomaly	Unc.	Anomaly	Unc.	Anomaly	Unc.	Anomaly	Unc.	Anomaly	Unc.
1743	11	-1.131	2.118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1743	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	4	1.926	1.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	5	-1.115	1.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	6	-0.235	1.174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	7	-0.43	1.246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	9	-1.273	1.43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	10	-2.177	1.676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	11	-0.459	2.044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1744	12	-0.813	2.517	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	1	-1.136	3.157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	2	-0.693	3.135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	3	-1.775	2.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	4	-0.626	1.272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1745	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	1	0.421	2.998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	2	0.425	3.206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	3	0.526	2.487	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	4	-0.109	1.223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	5	0.063	1.291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	6	-0.335	1.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	7	1.623	1.208	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	8	0.71	0.922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	9	-0.889	1.29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	10	-3.027	1.585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1750	12	-1.619	2.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	1	-0.306	3.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	2	-2.176	3.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	3	0.934	2.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	4	-0.501	1.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	6	0.531	1.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	7	0.628	1.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	8	0.351	0.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	9	-1.567	1.224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1751	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	1	-2.624	3.265	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	3	1.123	2.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	4	-0.638	1.329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	10	-1.601	1.654	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	11	0.899	1.975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1752	12	0.536	2.471	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
